1000	0	0	0
1206.8	21084	25818	25325
1456.3	29021	35056	31948
1757.5	39946	47580	40302
2121	54984	64438	50584
2559.5	72140	87271	63484
3088.8	92803	1.1249e+05	79536
3727.6	1.1938e+05	1.4259e+05	98273
4498.4	1.5346e+05	1.8287e+05	1.2142e+05
5428.7	1.9601e+05	2.3821e+05	1.5033e+05
6551.3	2.5036e+05	3.0743e+05	1.8621e+05
7906	3.1979e+05	3.9e+05	2.2925e+05
9541	3.9693e+05	4.8677e+05	2.731e+05
11514	4.8985e+05	5.8966e+05	3.2534e+05
13895	6.0454e+05	7.1429e+05	3.8507e+05
16768	7.2402e+05	8.8272e+05	4.5204e+05
20236	8.605e+05	1.0965e+06	5.3002e+05
24421	1.0227e+06	1.3113e+06	6.1616e+05
29471	1.1939e+06	1.5599e+06	7.163e+05
35565	1.3627e+06	1.8412e+06	8.3271e+05
42919	1.5553e+06	2.155e+06	9.6823e+05
51795	1.7624e+06	2.5219e+06	1.1259e+06
62506	1.9762e+06	2.9505e+06	1.3091e+06
75431	2.216e+06	3.4518e+06	1.4744e+06
91030	2.4677e+06	3.9569e+06	1.6486e+06
1.0985e+05	2.7025e+06	4.5193e+06	1.8433e+06
1.3257e+05	2.9597e+06	5.1603e+06	2.06e+06
1.5999e+05	3.2414e+06	5.8645e+06	2.3013e+06
1.9307e+05	3.428e+06	6.6648e+06	2.5709e+06
2.33e+05	3.6053e+06	7.5221e+06	2.8641e+06
2.8118e+05	3.7919e+06	8.431e+06	3.1673e+06
3.3932e+05	3.9804e+06	9.4475e+06	3.5026e+06
4.0949e+05	3.9604e+06	1.049e+07	3.8767e+06
4.9417e+05	3.9405e+06	1.1648e+07	4.2991e+06
5.9636e+05	3.917e+06	1.2801e+07	4.7674e+06
7.1969e+05	3.854e+06	1.3905e+07	5.2868e+06
8.6851e+05	3.792e+06	1.5104e+07	5.7553e+06
1.0481e+06	3.7311e+06	1.6509e+07	6.2218e+06
1.2649e+06	3.5944e+06	1.8119e+07	6.726e+06
1.5264e+06	3.3628e+06	1.9879e+07	7.2815e+06
1.8421e+06	3.1431e+06	2.1635e+07	7.9097e+06
2.223e+06	2.9255e+06	2.3545e+07	8.592e+06
2.6827e+06	2.723e+06	2.5541e+07	9.3331e+06
3.2375e+06	2.5264e+06	2.7576e+07	1.0134e+07
3.9069e+06	2.2615e+06	2.9773e+07	1.1001e+07
4.7149e+06	2.0243e+06	3.2023e+07	1.1943e+07
5.6899e+06	1.7943e+06	3.4386e+07	1.2808e+07
6.8665e+06	1.5768e+06	3.6923e+07	1.3734e+07
8.2864e+06	1.3821e+06	3.9713e+07	1.4843e+07
1e+07	0	0	0
