10,1.46E-23
20,4.00E-24
30,3.20E-24
40,3.30E-24
50,2.50E-24
100,4.20E-24
200,8.70E-24
300,1.86E-23
400,2.88E-23
500,4.38E-23
1000,2.62E-22
